Orthogroup	111	GCF_017603965.1_ASM1760396v1_protein	GCF_022117535.1_ASM2211753v1_protein	GCF_900379835.1_GBBC_2088_protein	GCF_900380015.1_JVD-0051_protein	GCF_900380035.1_NCPPB_1822_protein	GCF_900380065.1_PD_2659_protein	GCF_900380085.1_PD_2662_protein	GCF_900380095.1_PD_2905_protein	GCF_900380115.1_PD_4314_protein	GCF_900380125.1_PD_3160_protein	GCF_900380135.1_PD_4932_protein	GCF_900380145.1_PD_4634_protein	GCF_900380235.1_PD_885_protein
OG0000276		WP_208586274.1	WP_208586274.1	WP_002804515.1	WP_108834639.1	WP_002804515.1	WP_002804515.1	WP_002804515.1	WP_108834639.1	WP_002804515.1	WP_002804515.1	WP_002804515.1	WP_002804515.1	WP_002804515.1
OG0000277		WP_208586275.1	WP_208586275.1	WP_040762353.1	WP_040762353.1	WP_040762353.1	WP_040762353.1	WP_040762353.1	WP_040762353.1	WP_040762353.1	WP_040762353.1	WP_040762353.1	WP_040762353.1	WP_040762353.1
OG0000278		WP_208586276.1	WP_208586276.1	WP_108796756.1	WP_108834637.1	WP_002804512.1	WP_088056816.1	WP_002804512.1	WP_108834637.1	WP_002804512.1	WP_002804512.1	WP_002804512.1	WP_088056816.1	WP_088056816.1
OG0000279		WP_208586277.1	WP_208586277.1	WP_002804510.1	WP_002804510.1	WP_088061329.1	WP_088056815.1	WP_088061329.1	WP_002804510.1	WP_002804510.1	WP_002804510.1	WP_002804510.1	WP_088056815.1	WP_088056815.1
OG0000280		WP_208586278.1	WP_208586278.1	WP_002804509.1	WP_002804509.1	WP_002804509.1	WP_002804509.1	WP_002804509.1	WP_002804509.1	WP_108832268.1	WP_002804509.1	WP_002804509.1	WP_002804509.1	WP_002804509.1
OG0000281		WP_208586279.1	WP_208586279.1	WP_002804508.1	WP_002804508.1	WP_002804508.1	WP_002804508.1	WP_002804508.1	WP_002804508.1	WP_002804508.1	WP_002804508.1	WP_002804508.1	WP_002804508.1	WP_002804508.1
OG0000282		WP_208586281.1	WP_208586281.1	WP_002804507.1	WP_002804507.1	WP_002804507.1	WP_002804507.1	WP_002804507.1	WP_002804507.1	WP_002804507.1	WP_002804507.1	WP_002804507.1	WP_002804507.1	WP_002804507.1
OG0000283		WP_208586282.1	WP_208586282.1	WP_002804505.1	WP_088056814.1	WP_088056814.1	WP_088056814.1	WP_088056814.1	WP_088056814.1	WP_002804505.1	WP_002804505.1	WP_002804505.1	WP_088056814.1	WP_088056814.1
OG0000284		WP_208586288.1	WP_208586288.1	WP_002804504.1	WP_002804504.1	WP_002804504.1	WP_002804504.1	WP_002804504.1	WP_002804504.1	WP_002804504.1	WP_002804504.1	WP_002804504.1	WP_002804504.1	WP_002804504.1
OG0000285		WP_208586290.1	WP_208586290.1	WP_002804503.1	WP_002804503.1	WP_002804503.1	WP_002804503.1	WP_002804503.1	WP_002804503.1	WP_002804503.1	WP_002804503.1	WP_002804503.1	WP_002804503.1	WP_002804503.1
OG0000286		WP_208586292.1	WP_208586292.1	WP_002804502.1	WP_002804502.1	WP_088061328.1	WP_002804502.1	WP_088061328.1	WP_002804502.1	WP_002804502.1	WP_002804502.1	WP_002804502.1	WP_002804502.1	WP_002804502.1
OG0000287		WP_208586294.1	WP_208586294.1	WP_002804501.1	WP_088056813.1	WP_088061327.1	WP_088056813.1	WP_088061327.1	WP_088056813.1	WP_002804501.1	WP_002804501.1	WP_002804501.1	WP_088056813.1	WP_088056813.1
OG0000288		WP_208586296.1	WP_208586296.1	WP_002804500.1	WP_088056812.1	WP_088056812.1	WP_088056812.1	WP_088056812.1	WP_088056812.1	WP_002804500.1	WP_002804500.1	WP_002804500.1	WP_088056812.1	WP_088056812.1
OG0000289		WP_208586301.1	WP_208586301.1	WP_002804498.1	WP_002804498.1	WP_002804498.1	WP_002804498.1	WP_002804498.1	WP_002804498.1	WP_002804498.1	WP_002804498.1	WP_002804498.1	WP_002804498.1	WP_002804498.1
OG0000290		WP_208586303.1	WP_208586303.1	WP_159088933.1	WP_002804496.1	WP_002804496.1	WP_108780195.1	WP_002804496.1	WP_002804496.1	WP_002804496.1	WP_002804496.1	WP_002804496.1	WP_108780195.1	WP_108780195.1
OG0000291		WP_208586305.1	WP_208586305.1	WP_002804495.1	WP_002804495.1	WP_002804495.1	WP_002804495.1	WP_002804495.1	WP_002804495.1	WP_002804495.1	WP_002804495.1	WP_002804495.1	WP_002804495.1	WP_002804495.1
OG0000292		WP_208586307.1	WP_208586307.1	WP_002804486.1	WP_002804486.1	WP_002804486.1	WP_002804486.1	WP_002804486.1	WP_002804486.1	WP_002804486.1	WP_002804486.1	WP_002804486.1	WP_002804486.1	WP_002804486.1
OG0000293		WP_208586309.1	WP_208586309.1	WP_002804485.1	WP_002804485.1	WP_002804485.1	WP_002804485.1	WP_002804485.1	WP_002804485.1	WP_002804485.1	WP_002804485.1	WP_002804485.1	WP_002804485.1	WP_002804485.1
OG0000294		WP_208586311.1	WP_208586311.1	WP_002804484.1	WP_002804484.1	WP_088061326.1	WP_002804484.1	WP_088061326.1	WP_002804484.1	WP_002804484.1	WP_002804484.1	WP_002804484.1	WP_002804484.1	WP_002804484.1
OG0000295		WP_208586315.1	WP_208586315.1	WP_002804481.1	WP_002804481.1	WP_002804481.1	WP_002804481.1	WP_002804481.1	WP_002804481.1	WP_002804481.1	WP_002804481.1	WP_002804481.1	WP_002804481.1	WP_002804481.1
OG0000296		WP_208586317.1	WP_208586317.1	WP_002804480.1	WP_002804480.1	WP_088061325.1	WP_002804480.1	WP_088061325.1	WP_002804480.1	WP_002804480.1	WP_002804480.1	WP_002804480.1	WP_002804480.1	WP_002804480.1
OG0000297		WP_208586319.1	WP_208586319.1	WP_002804478.1	WP_002804478.1	WP_002804478.1	WP_002804478.1	WP_002804478.1	WP_002804478.1	WP_002804478.1	WP_002804478.1	WP_002804478.1	WP_002804478.1	WP_002804478.1
OG0000298		WP_208586320.1	WP_208586320.1	WP_002804477.1	WP_108834633.1	WP_002804477.1	WP_002804477.1	WP_002804477.1	WP_108834633.1	WP_002804477.1	WP_002804477.1	WP_002804477.1	WP_002804477.1	WP_002804477.1
OG0000299		WP_208586322.1	WP_208586322.1	WP_002804476.1	WP_108834631.1	WP_088062511.1	WP_002804476.1	WP_088062511.1	WP_108834631.1	WP_002804476.1	WP_002804476.1	WP_002804476.1	WP_002804476.1	WP_002804476.1
OG0000300		WP_208586324.1	WP_208586324.1	WP_002804474.1	WP_108834629.1	WP_002804474.1	WP_002804474.1	WP_002804474.1	WP_108834629.1	WP_002804474.1	WP_002804474.1	WP_002804474.1	WP_002804474.1	WP_002804474.1
OG0000301		WP_208586326.1	WP_208586326.1	WP_002804470.1	WP_108834627.1	WP_088061324.1	WP_002804470.1	WP_088061324.1	WP_108834627.1	WP_002804470.1	WP_002804470.1	WP_002804470.1	WP_002804470.1	WP_002804470.1
OG0000302		WP_208586328.1	WP_208586328.1	WP_002804469.1	WP_108834625.1	WP_088061323.1	WP_002804469.1	WP_088061323.1	WP_108834625.1	WP_002804469.1	WP_002804469.1	WP_002804469.1	WP_002804469.1	WP_002804469.1
OG0000303		WP_208586331.1	WP_208586331.1	WP_002804466.1	WP_002804466.1	WP_088061322.1	WP_002804466.1	WP_088061322.1	WP_002804466.1	WP_002804466.1	WP_002804466.1	WP_002804466.1	WP_002804466.1	WP_002804466.1
OG0000304		WP_208586333.1	WP_208586333.1	WP_002804461.1	WP_108834623.1	WP_002804461.1	WP_002804461.1	WP_002804461.1	WP_108834623.1	WP_002804461.1	WP_002804461.1	WP_002804461.1	WP_002804461.1	WP_002804461.1
OG0000305		WP_208586335.1	WP_208586335.1	WP_002804459.1	WP_002804459.1	WP_088061320.1	WP_002804459.1	WP_088061320.1	WP_002804459.1	WP_002804459.1	WP_002804459.1	WP_002804459.1	WP_002804459.1	WP_002804459.1
OG0000306		WP_208586337.1	WP_208586337.1	WP_002804457.1	WP_088061319.1	WP_088061319.1	WP_002804457.1	WP_088061319.1	WP_088061319.1	WP_002804457.1	WP_002804457.1	WP_002804457.1	WP_002804457.1	WP_002804457.1
OG0000307		WP_208586339.1	WP_208586339.1	WP_234407781.1	WP_234407781.1	WP_088061318.1	WP_234407781.1	WP_088061318.1	WP_234407781.1	WP_234407781.1	WP_234407781.1	WP_234407781.1	WP_234407781.1	WP_234407781.1
OG0000308		WP_208586341.1	WP_208586341.1	WP_002804455.1	WP_002804455.1	WP_088061317.1	WP_002804455.1	WP_088061317.1	WP_002804455.1	WP_002804455.1	WP_002804455.1	WP_002804455.1	WP_002804455.1	WP_002804455.1
OG0000309		WP_208586343.1	WP_208586343.1	WP_002804454.1	WP_002804454.1	WP_002804454.1	WP_002804454.1	WP_002804454.1	WP_002804454.1	WP_002804454.1	WP_002804454.1	WP_002804454.1	WP_002804454.1	WP_002804454.1
OG0000310		WP_208586345.1	WP_208586345.1	WP_002804452.1	WP_108834621.1	WP_088061316.1	WP_002804452.1	WP_088061316.1	WP_108834621.1	WP_002804452.1	WP_002804452.1	WP_002804452.1	WP_002804452.1	WP_002804452.1
OG0000311		WP_208586347.1	WP_208586347.1	WP_002804451.1	WP_108834619.1	WP_002804451.1	WP_002804451.1	WP_002804451.1	WP_108834619.1	WP_002804451.1	WP_002804451.1	WP_002804451.1	WP_002804451.1	WP_002804451.1
OG0000312		WP_208586349.1	WP_208586349.1	WP_002804450.1	WP_108834617.1	WP_088061315.1	WP_002804450.1	WP_088061315.1	WP_108834617.1	WP_002804450.1	WP_002804450.1	WP_002804450.1	WP_002804450.1	WP_002804450.1
OG0000313		WP_208586351.1	WP_208586351.1	WP_002804449.1	WP_002804449.1	WP_002804449.1	WP_002804449.1	WP_002804449.1	WP_002804449.1	WP_002804449.1	WP_002804449.1	WP_002804449.1	WP_002804449.1	WP_002804449.1
OG0000314		WP_208586353.1	WP_208586353.1	WP_002804448.1	WP_108834615.1	WP_002804448.1	WP_002804448.1	WP_002804448.1	WP_108834615.1	WP_002804448.1	WP_002804448.1	WP_002804448.1	WP_002804448.1	WP_002804448.1
OG0000315		WP_208586355.1	WP_208586355.1	WP_002804442.1	WP_002804442.1	WP_002804442.1	WP_002804442.1	WP_002804442.1	WP_002804442.1	WP_002804442.1	WP_002804442.1	WP_002804442.1	WP_002804442.1	WP_002804442.1
OG0000316		WP_208586357.1	WP_208586357.1	WP_002804441.1	WP_002804441.1	WP_002804441.1	WP_002804441.1	WP_002804441.1	WP_002804441.1	WP_002804441.1	WP_002804441.1	WP_002804441.1	WP_002804441.1	WP_002804441.1
OG0000317		WP_208586359.1	WP_208586359.1	WP_002804440.1	WP_002804440.1	WP_088061314.1	WP_002804440.1	WP_088061314.1	WP_002804440.1	WP_002804440.1	WP_002804440.1	WP_002804440.1	WP_002804440.1	WP_002804440.1
OG0000318		WP_208586361.1	WP_208586361.1	WP_002804439.1	WP_002804439.1	WP_109170821.1	WP_002804439.1	WP_088061313.1	WP_002804439.1	WP_002804439.1	WP_002804439.1	WP_002804439.1	WP_002804439.1	WP_002804439.1
OG0000319		WP_208586362.1	WP_208586362.1	WP_002804435.1	WP_002804435.1	WP_002804435.1	WP_002804435.1	WP_002804435.1	WP_002804435.1	WP_002804435.1	WP_002804435.1	WP_002804435.1	WP_002804435.1	WP_002804435.1
OG0000320		WP_208586364.1	WP_208586364.1	WP_002804432.1	WP_002804432.1	WP_002804432.1	WP_002804432.1	WP_002804432.1	WP_002804432.1	WP_002804432.1	WP_002804432.1	WP_002804432.1	WP_002804432.1	WP_002804432.1
OG0000321		WP_208586365.1	WP_208586365.1	WP_002804430.1	WP_002804430.1	WP_002804430.1	WP_002804430.1	WP_002804430.1	WP_002804430.1	WP_002804430.1	WP_002804430.1	WP_002804430.1	WP_002804430.1	WP_002804430.1
OG0000322		WP_208586367.1	WP_208586367.1	WP_002804429.1	WP_108834613.1	WP_088061311.1	WP_002804429.1	WP_088061311.1	WP_108834613.1	WP_002804429.1	WP_002804429.1	WP_002804429.1	WP_002804429.1	WP_002804429.1
OG0000323		WP_208586369.1	WP_208586369.1	WP_002804428.1	WP_002804428.1	WP_002804428.1	WP_002804428.1	WP_002804428.1	WP_002804428.1	WP_002804428.1	WP_002804428.1	WP_002804428.1	WP_002804428.1	WP_002804428.1
OG0000324		WP_208586371.1	WP_208586371.1	WP_087946418.1	WP_087946418.1	WP_087946418.1	WP_087946418.1	WP_087946418.1	WP_087946418.1	WP_087946418.1	WP_087946418.1	WP_087946418.1	WP_087946418.1	WP_087946418.1
OG0000325		WP_208586373.1	WP_208586373.1	WP_002804425.1	WP_108834611.1	WP_002804425.1	WP_002804425.1	WP_002804425.1	WP_002804425.1	WP_002804425.1	WP_002804425.1	WP_002804425.1	WP_002804425.1	WP_002804425.1
OG0000326		WP_208586375.1	WP_208586375.1	WP_002804424.1	WP_108834609.1	WP_088061309.1	WP_088056810.1	WP_088061309.1	WP_108834609.1	WP_002804424.1	WP_002804424.1	WP_002804424.1	WP_088056810.1	WP_088056810.1
OG0000327		WP_208586376.1	WP_208586376.1	WP_082244205.1	WP_082244205.1	WP_082244205.1	WP_082244205.1	WP_082244205.1	WP_082244205.1	WP_082244205.1	WP_082244205.1	WP_082244205.1	WP_082244205.1	WP_082244205.1
OG0000328		WP_208586377.1	WP_208586377.1	WP_002804418.1	WP_002804418.1	WP_088061307.1	WP_002804418.1	WP_088061307.1	WP_002804418.1	WP_002804418.1	WP_002804418.1	WP_002804418.1	WP_002804418.1	WP_002804418.1
OG0000329		WP_208586378.1	WP_208586378.1	WP_002804417.1	WP_108834603.1	WP_002804417.1	WP_002804417.1	WP_002804417.1	WP_108834603.1	WP_002804417.1	WP_002804417.1	WP_002804417.1	WP_002804417.1	WP_002804417.1
OG0000330		WP_208586379.1	WP_208586379.1	WP_002804416.1	WP_088056808.1	WP_088056808.1	WP_088056808.1	WP_088056808.1	WP_088056808.1	WP_002804416.1	WP_002804416.1	WP_002804416.1	WP_088056808.1	WP_088056808.1
OG0000331		WP_208586380.1	WP_208586380.1	WP_040762343.1	WP_172404509.1	WP_108840755.1	WP_172404509.1	WP_108840755.1	WP_172404509.1	WP_040762343.1	WP_040762343.1	WP_040762343.1	WP_172404509.1	WP_172404509.1
OG0000332		WP_208586381.1	WP_208586381.1	WP_002804414.1	WP_088056806.1	WP_231895723.1	WP_231895723.1	WP_231895723.1	WP_088056806.1	WP_002804414.1	WP_002804414.1	WP_002804414.1	WP_231895723.1	WP_088056806.1
OG0000333		WP_208586382.1	WP_208586382.1	WP_002804413.1	WP_108834601.1	WP_002804413.1	WP_002804413.1	WP_002804413.1	WP_108834601.1	WP_002804413.1	WP_002804413.1	WP_002804413.1	WP_002804413.1	WP_002804413.1
OG0000334		WP_208586383.1	WP_208586383.1	WP_040762342.1	WP_108834599.1	WP_040762342.1	WP_040762342.1	WP_040762342.1	WP_108834599.1	WP_234407780.1	WP_040762342.1	WP_040762342.1	WP_040762342.1	WP_040762342.1
OG0000335		WP_208586385.1	WP_208586385.1	WP_082244204.1	WP_088061305.1	WP_088061305.1	WP_082244204.1	WP_088061305.1	WP_088061305.1	WP_082244204.1	WP_082244204.1	WP_082244204.1	WP_082244204.1	WP_082244204.1
OG0000336		WP_208586387.1	WP_208586387.1	WP_002804407.1	WP_108834597.1	WP_002804407.1	WP_002804407.1	WP_002804407.1	WP_108834597.1	WP_002804407.1	WP_002804407.1	WP_002804407.1	WP_002804407.1	WP_002804407.1
OG0000337		WP_208586388.1	WP_208586388.1	WP_231892735.1	WP_231892735.1	WP_231892735.1	WP_231892735.1	WP_231892735.1	WP_231892735.1	WP_231892735.1	WP_231892735.1	WP_231892735.1	WP_231892735.1	WP_231892735.1
OG0000338		WP_208586390.1	WP_208586390.1	WP_002804403.1	WP_108834595.1	WP_002804403.1	WP_002804403.1	WP_002804403.1	WP_108834595.1	WP_002804403.1	WP_002804403.1	WP_002804403.1	WP_002804403.1	WP_002804403.1
OG0000339		WP_208586392.1	WP_208586392.1	WP_002804398.1	WP_108834593.1	WP_002804398.1	WP_002804398.1	WP_002804398.1	WP_108834593.1	WP_002804398.1	WP_002804398.1	WP_002804398.1	WP_002804398.1	WP_002804398.1
OG0000340		WP_208586394.1	WP_208586394.1	WP_002804397.1	WP_108834591.1	WP_002804397.1	WP_002804397.1	WP_002804397.1	WP_108834591.1	WP_002804397.1	WP_002804397.1	WP_002804397.1	WP_002804397.1	WP_002804397.1
OG0000341		WP_208586396.1	WP_208586396.1	WP_257784597.1	WP_257784597.1	WP_257784597.1	WP_257784597.1	WP_257784597.1	WP_257784597.1	WP_257784597.1	WP_257784597.1	WP_257784597.1	WP_257784597.1	WP_257784597.1
OG0000342		WP_208586400.1	WP_208586400.1	WP_002804390.1	WP_002804390.1	WP_002804390.1	WP_002804390.1	WP_002804390.1	WP_002804390.1	WP_002804390.1	WP_002804390.1	WP_002804390.1	WP_002804390.1	WP_002804390.1
OG0000343		WP_208586402.1	WP_208586402.1	WP_002804387.1	WP_108834587.1	WP_088061300.1	WP_088056804.1	WP_088061300.1	WP_108834587.1	WP_002804387.1	WP_002804387.1	WP_002804387.1	WP_088056804.1	WP_088056804.1
OG0000344		WP_208586404.1	WP_208586404.1	WP_231892666.1	WP_231892666.1	WP_231892666.1	WP_231892666.1	WP_231892666.1	WP_231892666.1	WP_231892666.1	WP_231892666.1	WP_231892666.1	WP_231892666.1	WP_231892666.1
OG0000345		WP_208586406.1	WP_208586406.1	WP_002802358.1	WP_234407842.1	WP_234407842.1	WP_002802358.1	WP_234407842.1	WP_234407842.1	WP_234407842.1	WP_234420802.1	WP_002802358.1	WP_002802358.1	WP_002802358.1
OG0000346		WP_208586410.1	WP_208586410.1	WP_231892751.1	WP_231895722.1	WP_231895722.1	WP_231892751.1	WP_231895722.1	WP_231895722.1	WP_231892751.1	WP_231892751.1	WP_231892751.1	WP_231892751.1	WP_231892751.1
OG0000347		WP_208586412.1	WP_208586412.1	WP_002804383.1	WP_002804383.1	WP_088061298.1	WP_002804383.1	WP_088061298.1	WP_002804383.1	WP_002804383.1	WP_002804383.1	WP_002804383.1	WP_002804383.1	WP_002804383.1
OG0000348		WP_208586413.1	WP_208586413.1	WP_002804381.1	WP_002804381.1	WP_002804381.1	WP_002804381.1	WP_002804381.1	WP_002804381.1	WP_002804381.1	WP_002804381.1	WP_002804381.1	WP_002804381.1	WP_002804381.1
OG0000349		WP_208586415.1	WP_208586415.1	WP_002804380.1	WP_002804380.1	WP_002804380.1	WP_002804380.1	WP_002804380.1	WP_002804380.1	WP_002804380.1	WP_002804380.1	WP_002804380.1	WP_002804380.1	WP_002804380.1
OG0000350		WP_208586417.1	WP_208586417.1	WP_002804379.1	WP_002804379.1	WP_002804379.1	WP_002804379.1	WP_002804379.1	WP_002804379.1	WP_002804379.1	WP_002804379.1	WP_002804379.1	WP_002804379.1	WP_002804379.1
OG0000351		WP_208586419.1	WP_208586419.1	WP_231892734.1	WP_231892734.1	WP_088061297.1	WP_231892734.1	WP_088061297.1	WP_231892734.1	WP_231892734.1	WP_231892734.1	WP_231892734.1	WP_231892734.1	WP_231892734.1
OG0000352		WP_208586421.1	WP_208586421.1	WP_159088930.1	WP_108834583.1	WP_088061295.1	WP_065975178.1	WP_088061295.1	WP_065975178.1	WP_065975178.1	WP_065975178.1	WP_065975178.1	WP_065975178.1	WP_065975178.1
OG0000353		WP_208586425.1	WP_208586425.1	WP_002804368.1	WP_002804368.1	WP_002804368.1	WP_002804368.1	WP_002804368.1	WP_002804368.1	WP_002804368.1	WP_002804368.1	WP_002804368.1	WP_002804368.1	WP_002804368.1
OG0000354		WP_208586427.1	WP_208586427.1	WP_002804365.1	WP_002804365.1	WP_002804365.1	WP_002804365.1	WP_002804365.1	WP_002804365.1	WP_002804365.1	WP_002804365.1	WP_002804365.1	WP_002804365.1	WP_002804365.1
OG0000355		WP_208586428.1	WP_208586428.1	WP_108796749.1	WP_002804364.1	WP_088061292.1	WP_002804364.1	WP_088061292.1	WP_002804364.1	WP_002804364.1	WP_002804364.1	WP_002804364.1	WP_002804364.1	WP_002804364.1
OG0000356		WP_208586429.1	WP_208586429.1	WP_002804363.1	WP_002804363.1	WP_088061291.1	WP_002804363.1	WP_088061291.1	WP_002804363.1	WP_002804363.1	WP_002804363.1	WP_002804363.1	WP_002804363.1	WP_002804363.1
OG0000357		WP_208586430.1	WP_208586430.1	WP_002804362.1	WP_002804362.1	WP_162597157.1	WP_002804362.1	WP_162597157.1	WP_002804362.1	WP_002804362.1	WP_002804362.1	WP_002804362.1	WP_002804362.1	WP_002804362.1
OG0000358		WP_208586431.1	WP_208586431.1	WP_002804360.1	WP_002804360.1	WP_002804360.1	WP_002804360.1	WP_002804360.1	WP_002804360.1	WP_002804360.1	WP_002804360.1	WP_002804360.1	WP_002804360.1	WP_002804360.1
OG0000359		WP_208586432.1	WP_208586432.1	WP_002804349.1	WP_002804349.1	WP_088061289.1	WP_002804349.1	WP_088061289.1	WP_002804349.1	WP_002804349.1	WP_002804349.1	WP_002804349.1	WP_002804349.1	WP_002804349.1
OG0000360		WP_208586433.1	WP_208586433.1	WP_002804347.1	WP_002804347.1	WP_002804347.1	WP_002804347.1	WP_002804347.1	WP_002804347.1	WP_002804347.1	WP_002804347.1	WP_002804347.1	WP_002804347.1	WP_002804347.1
OG0000361		WP_208586435.1	WP_208586435.1	WP_002804345.1	WP_002804345.1	WP_002804345.1	WP_002804345.1	WP_002804345.1	WP_002804345.1	WP_002804345.1	WP_002804345.1	WP_002804345.1	WP_002804345.1	WP_002804345.1
OG0000362		WP_208586440.1	WP_208586440.1	WP_002806086.1	WP_002806086.1	WP_002806086.1	WP_002806086.1	WP_002806086.1	WP_002806086.1	WP_002806086.1	WP_002806086.1	WP_002806086.1	WP_002806086.1	WP_002806086.1
OG0000363		WP_208586461.1, WP_208591689.1	WP_208586461.1, WP_208591689.1		WP_002809993.1	WP_088061284.1		WP_088061284.1	WP_002809993.1	WP_002809993.1	WP_002809993.1	WP_108772757.1	WP_002809993.1	WP_002809993.1
OG0000364		WP_208586463.1	WP_208586463.1	WP_002809996.1	WP_002809996.1	WP_088061283.1	WP_002809996.1	WP_088061283.1	WP_002809996.1	WP_002809996.1	WP_002809996.1	WP_002809996.1	WP_002809996.1	WP_002809996.1
OG0000365		WP_208586464.1	WP_208586464.1	WP_002810001.1	WP_002810001.1	WP_002810001.1	WP_002810001.1	WP_002810001.1	WP_002810001.1	WP_002810001.1	WP_002810001.1	WP_002810001.1	WP_002810001.1	WP_002810001.1
OG0000366		WP_208586467.1	WP_208586467.1	WP_002810020.1	WP_002810020.1	WP_002810020.1	WP_002810020.1	WP_002810020.1	WP_002810020.1	WP_002810020.1	WP_002810020.1	WP_002810020.1	WP_002810020.1	WP_002810020.1
OG0000367		WP_208586469.1	WP_208586469.1	WP_002810028.1	WP_002810028.1	WP_002810028.1	WP_002810028.1	WP_002810028.1	WP_002810028.1	WP_002810028.1	WP_002810028.1	WP_002810028.1	WP_002810028.1	WP_002810028.1
OG0000368		WP_208586471.1	WP_208586471.1	WP_231892750.1	WP_234408213.1	WP_088061281.1	WP_231892750.1	WP_231895720.1	WP_234408213.1	WP_231892750.1	WP_231892750.1	WP_231892750.1	WP_231892750.1	WP_231892750.1
OG0000369		WP_208586479.1	WP_208586479.1	WP_002802328.1	WP_002802328.1	WP_002802328.1	WP_002802328.1	WP_002802328.1	WP_002802328.1	WP_002802328.1	WP_002802328.1	WP_002802328.1	WP_002802328.1	WP_002802328.1
OG0000370		WP_208586481.1	WP_208586481.1	WP_002802330.1	WP_002802330.1	WP_088061582.1	WP_002802330.1	WP_088061582.1	WP_002802330.1	WP_002802330.1	WP_002802330.1	WP_002802330.1	WP_002802330.1	WP_002802330.1
OG0000371		WP_208586483.1	WP_208586483.1	WP_002802331.1	WP_002802331.1	WP_002802331.1	WP_002802331.1	WP_002802331.1	WP_002802331.1	WP_002802331.1	WP_002802331.1	WP_002802331.1	WP_002802331.1	WP_002802331.1
OG0000372		WP_208586484.1	WP_208586484.1	WP_040761992.1	WP_040761992.1	WP_040761992.1	WP_040761992.1	WP_040761992.1	WP_040761992.1	WP_040761992.1	WP_040761992.1	WP_040761992.1	WP_040761992.1	WP_040761992.1
OG0000373		WP_208586485.1	WP_208586485.1	WP_002802333.1	WP_002802333.1	WP_002802333.1	WP_002802333.1	WP_002802333.1	WP_002802333.1	WP_002802333.1	WP_002802333.1	WP_002802333.1	WP_002802333.1	WP_002802333.1
OG0000374		WP_208586486.1	WP_208586486.1	WP_002802334.1	WP_002802334.1	WP_088061584.1	WP_002802334.1	WP_088061584.1	WP_002802334.1	WP_002802334.1	WP_002802334.1	WP_002802334.1	WP_002802334.1	WP_002802334.1
OG0000375		WP_208586487.1	WP_208586487.1	WP_002802335.1	WP_108834782.1	WP_002802335.1	WP_002802335.1	WP_002802335.1	WP_108834782.1	WP_002802335.1	WP_002802335.1	WP_002802335.1	WP_002802335.1	WP_002802335.1
OG0000376		WP_208586488.1	WP_208586488.1	WP_002802337.1	WP_002802337.1	WP_002802337.1	WP_002802337.1	WP_002802337.1	WP_002802337.1	WP_002802337.1	WP_002802337.1	WP_002802337.1	WP_002802337.1	WP_002802337.1
OG0000377		WP_208586489.1	WP_208586489.1	WP_002802338.1	WP_088056917.1	WP_088061586.1	WP_088056917.1	WP_088061586.1	WP_088056917.1	WP_002802338.1	WP_002802338.1	WP_002802338.1	WP_088056917.1	WP_088056917.1
OG0000378		WP_208586490.1	WP_208586490.1	WP_002802339.1	WP_002802339.1	WP_002802339.1	WP_002802339.1	WP_002802339.1	WP_002802339.1	WP_002802339.1	WP_002802339.1	WP_002802339.1	WP_002802339.1	WP_002802339.1
OG0000379		WP_208586492.1	WP_208586492.1	WP_002802340.1	WP_002802340.1	WP_088061588.1	WP_002802340.1	WP_088061588.1	WP_002802340.1	WP_002802340.1	WP_002802340.1	WP_002802340.1	WP_002802340.1	WP_002802340.1
OG0000380		WP_208586493.1	WP_208586493.1	WP_002802342.1	WP_002802342.1	WP_002802342.1	WP_002802342.1	WP_002802342.1	WP_002802342.1	WP_002802342.1	WP_002802342.1	WP_002802342.1	WP_002802342.1	WP_002802342.1
OG0000381		WP_208586494.1	WP_208586494.1	WP_002802343.1	WP_002802343.1	WP_002802343.1	WP_002802343.1	WP_002802343.1	WP_002802343.1	WP_002802343.1	WP_002802343.1	WP_002802343.1	WP_002802343.1	WP_002802343.1
OG0000382		WP_208586495.1	WP_208586495.1	WP_002802346.1	WP_002802346.1	WP_002802346.1	WP_002802346.1	WP_002802346.1	WP_002802346.1	WP_002802346.1	WP_002802346.1	WP_002802346.1	WP_002802346.1	WP_002802346.1
OG0000383		WP_208586496.1	WP_208586496.1	WP_002802352.1	WP_002802352.1	WP_088061594.1	WP_002802352.1	WP_088061594.1	WP_002802352.1	WP_002802352.1	WP_002802352.1	WP_002802352.1	WP_002802352.1	WP_002802352.1
OG0000384		WP_208586498.1	WP_208586498.1	WP_002802356.1	WP_002802356.1	WP_088061600.1	WP_002802356.1	WP_088061600.1	WP_002802356.1	WP_002802356.1	WP_002802356.1	WP_002802356.1	WP_002802356.1	WP_002802356.1
OG0000385		WP_208586502.1	WP_208586502.1	WP_172404486.1	WP_172404486.1	WP_172402125.1	WP_172404486.1	WP_172402125.1	WP_172404486.1	WP_172404486.1	WP_172404486.1	WP_172404486.1	WP_172404486.1	WP_172404486.1
OG0000386		WP_208586504.1	WP_208586504.1	WP_002802362.1	WP_002802362.1	WP_002802362.1	WP_002802362.1	WP_002802362.1	WP_002802362.1	WP_002802362.1	WP_002802362.1	WP_002802362.1	WP_002802362.1	WP_002802362.1
